short_name,overall,potential, value_eur , wage_eur ,age,height_cm,weight_kg,club_name,league_name,club_position,attack_position,nationality_name,preferred_foot,international_reputation,body_type,pace,shooting,passing,dribbling,defending,physic
B. Santamaria,78,80,15500000,43000,26,183,73,Stade Rennais FC,French Ligue 1,LCM,Midfield,France,Right,2,Lean (170-185),60,62,71,74,76,74
R. Karsdorp,78,79,16500000,51000,26,184,80,Roma,Italian Serie A,RB,Defense,Netherlands,Right,2,Normal (170-185),87,64,74,77,76,78
Sergio Herrera,78,80,12000000,24000,28,192,82,CA Osasuna,Spain Primera Division,GK,GoalKeeper,Spain,Right,1,Lean (185+),,,,,,
David García,78,81,16000000,28000,27,185,72,CA Osasuna,Spain Primera Division,LCB,Defense,Spain,Right,1,Lean (185+),53,37,64,64,78,75
G. Rodríguez,78,79,15000000,24000,26,185,80,Real Betis Balompié,Spain Primera Division,RDM,Midfield,Argentina,Right,1,Lean (185+),54,56,66,66,80,77
A. Fulgini,78,82,20000000,23000,24,183,71,Angers SCO,French Ligue 1,CAM,Midfield,France,Right,2,Lean (170-185),74,70,74,81,68,73
Gelson Martins,78,79,16500000,50000,26,173,74,AS Monaco,French Ligue 1,RM,Midfield,Portugal,Right,3,Normal (170-185),93,71,70,83,51,61
M. Cash,78,83,20000000,50000,23,179,74,Aston Villa,English Premier League,RB,Defense,England,Right,2,Normal (170-185),81,63,68,73,72,66
E. Konsa,78,84,20000000,50000,23,183,77,Aston Villa,English Premier League,RCB,Defense,England,Right,2,Lean (170-185),77,39,62,71,79,75
E. Audero,78,81,15000000,14000,24,192,83,U.C. Sampdoria,Italian Serie A,GK,GoalKeeper,Italy,Right,1,Normal (185+),,,,,,
D. Calabria,78,81,18000000,31000,24,177,70,AC Milan,Italian Serie A,RB,Defense,Italy,Right,2,Normal (170-185),77,50,67,73,76,72
T. Abraham,78,86,31500000,49000,23,196,87,Roma,Italian Serie A,ST,Attack,England,Right,2,Lean (185+),70,78,62,72,31,70
Brahim,78,86,31500000,30000,21,171,59,AC Milan,Italian Serie A,CAM,Midfield,Spain,Right,1,Normal (170-185),78,69,76,82,30,50
A. Lafont,78,83,17500000,18000,22,196,90,FC Nantes,French Ligue 1,GK,GoalKeeper,France,Right,2,Lean (185+),,,,,,
J. Harrison,78,84,22000000,66000,24,175,70,Leeds United,English Premier League,LM,Midfield,England,Left,1,Normal (170-185),83,71,72,79,42,68
R. Le Normand,78,83,19000000,26000,24,187,81,Real Sociedad,Spain Primera Division,LCB,Defense,France,Right,1,Normal (185+),66,25,52,56,80,74
Y. Herrera,78,84,22000000,90000,23,184,77,RCD Espanyol de Barcelona,Spain Primera Division,LDM,Midfield,Venezuela,Right,1,Lean (170-185),63,70,73,75,77,74
Domingos Duarte,78,82,17500000,24000,26,190,78,Granada CF,Spain Primera Division,RCB,Defense,Portugal,Right,1,Lean (185+),56,35,58,54,80,78
I. Sarr,78,86,31000000,53000,23,185,76,Watford,English Premier League,RM,Midfield,Senegal,Right,1,Lean (185+),94,76,67,80,22,67
Reinildo,78,79,15000000,34000,27,180,73,LOSC Lille,French Ligue 1,LB,Defense,Mozambique,Left,1,Normal (170-185),77,54,65,73,76,78
Luiz Felipe,78,85,26000000,44000,24,187,80,Lazio,Italian Serie A,RCB,Defense,Brazil,Right,1,Lean (185+),73,29,61,68,80,72
A. Barák,78,81,18500000,33000,26,190,86,Hellas Verona,Italian Serie A,RF,Attack,Czech Republic,Left,1,Normal (185+),66,76,77,78,62,72
N. Zaniolo,78,87,31500000,38000,21,190,79,Roma,Italian Serie A,RM,Midfield,Italy,Left,2,Unique,83,74,71,80,61,82
M. Pessina,78,85,28000000,42000,24,183,75,Atalanta,Italian Serie A,LF,Attack,Italy,Left,2,Lean (170-185),70,70,74,78,67,72
A. Gouiri,78,85,29000000,29000,21,180,72,OGC Nice,French Ligue 1,LS,Attack,France,Right,2,Normal (170-185),79,80,75,79,44,70
Junior Firpo,78,82,18500000,59000,24,184,78,Leeds United,English Premier League,LB,Defense,Spain,Left,2,Lean (170-185),81,64,71,72,75,76
P. Rajković,78,83,16500000,20000,25,191,85,Stade de Reims,French Ligue 1,GK,GoalKeeper,Serbia,Right,2,Normal (185+),,,,,,
Luis Milla,78,82,17500000,24000,26,175,67,Granada CF,Spain Primera Division,LCM,Midfield,Spain,Right,1,Lean (170-185),72,70,76,74,74,75
De Frutos,78,84,22000000,26000,24,176,71,Levante Unión Deportiva,Spain Primera Division,RM,Midfield,Spain,Right,1,Lean (170-185),83,70,74,81,37,59
J. David,78,86,32000000,31000,21,177,77,LOSC Lille,French Ligue 1,RS,Attack,Canada,Right,2,Normal (170-185),85,76,71,78,25,70
U. Račić,78,85,28000000,31000,23,193,81,Valencia CF,Spain Primera Division,LCM,Midfield,Serbia,Right,1,Normal (185+),66,75,75,74,78,81
Puado,78,85,28000000,19000,23,177,69,RCD Espanyol de Barcelona,Spain Primera Division,LM,Midfield,Spain,Right,1,Normal (170-185),83,76,68,80,45,73
Y. Fofana,78,83,21500000,43000,22,176,69,AS Monaco,French Ligue 1,RCM,Midfield,France,Right,2,Normal (170-185),71,67,74,77,74,78
M. Greenwood,78,89,30500000,56000,19,181,70,Manchester United,English Premier League,RM,Midfield,England,Left,1,Lean (170-185),84,78,73,79,39,68
D. Vlahović,78,85,29000000,43000,21,190,75,Fiorentina,Italian Serie A,ST,Attack,Serbia,Left,2,Normal (185+),75,78,58,73,28,76
M. Caqueret,78,86,31500000,44000,21,174,63,Olympique Lyonnais,French Ligue 1,LDM,Midfield,France,Right,2,Lean (170-185),73,58,72,81,72,69
Diego López,77,77,1200000,9000,39,196,89,RCD Espanyol de Barcelona,Spain Primera Division,GK,GoalKeeper,Spain,Right,3,Lean (185+),,,,,,
T. Krul,77,77,3400000,27000,33,188,74,Norwich City,English Premier League,GK,GoalKeeper,Netherlands,Left,2,Lean (185+),,,,,,
Joselu,77,77,9000000,27000,31,192,80,Deportivo Alavés,Spain Primera Division,ST,Attack,Spain,Right,1,Lean (185+),55,78,68,72,30,70
K. Gameiro,77,77,5000000,27000,34,172,70,RC Strasbourg Alsace,French Ligue 1,RS,Attack,France,Right,3,Stocky (170-185),83,77,74,75,41,67
D. Da Silva,77,77,5000000,51000,33,184,83,Olympique Lyonnais,French Ligue 1,RCB,Defense,France,Right,2,Normal (170-185),50,37,59,55,78,78
M. Lanzini,77,77,10500000,64000,28,167,59,West Ham United,English Premier League,CAM,Midfield,Argentina,Right,2,Normal (170-),71,72,77,81,32,42
Cote,77,77,7500000,26000,31,182,77,CA Osasuna,Spain Primera Division,LB,Defense,Spain,Left,1,Lean (170-185),67,54,74,73,77,69
Oier,77,77,3000000,19000,35,178,72,CA Osasuna,Spain Primera Division,CDM,Midfield,Spain,Right,1,Normal (170-185),61,64,72,69,74,74
L. Cabrera,77,77,8500000,19000,30,190,82,RCD Espanyol de Barcelona,Spain Primera Division,LCB,Defense,Uruguay,Left,1,Normal (185+),59,45,59,58,78,82
Hugo Mallo,77,77,9000000,22000,30,173,69,RC Celta de Vigo,Spain Primera Division,RB,Defense,Spain,Right,2,Normal (170-185),66,39,68,67,74,74
C. Dawson,77,77,7000000,56000,31,188,77,West Ham United,English Premier League,RCB,Defense,England,Right,2,Normal (185+),51,47,59,57,79,76
A. Townsend,77,77,10500000,74000,29,178,73,Everton,English Premier League,RM,Midfield,England,Left,2,Normal (170-185),77,74,75,79,38,67
M. Faraoni,77,77,9500000,27000,29,180,71,Hellas Verona,Italian Serie A,RM,Midfield,Italy,Right,1,Normal (170-185),74,71,73,74,70,76
F. Lejeune,77,77,8500000,23000,30,189,81,Deportivo Alavés,Spain Primera Division,LCB,Defense,France,Right,2,Normal (185+),45,57,61,66,78,76
M. Sels,77,79,8500000,20000,29,190,88,RC Strasbourg Alsace,French Ligue 1,GK,GoalKeeper,Belgium,Right,2,Normal (185+),,,,,,
M. Bizot,77,78,8000000,16000,30,193,83,Stade Brestois 29,French Ligue 1,GK,GoalKeeper,Netherlands,Right,2,Normal (185+),,,,,,
J. Murillo,77,78,9500000,20000,29,184,78,RC Celta de Vigo,Spain Primera Division,LCB,Defense,Colombia,Right,2,Normal (170-185),73,40,59,64,77,78
David López,77,77,7000000,19000,31,183,81,RCD Espanyol de Barcelona,Spain Primera Division,RDM,Midfield,Spain,Right,1,Normal (170-185),56,58,66,65,78,76
S. Armstrong,77,77,10500000,54000,29,183,75,Southampton,English Premier League,RM,Midfield,Scotland,Right,1,Normal (170-185),73,77,75,76,65,72
Aleix Vidal,77,77,7500000,19000,31,177,70,RCD Espanyol de Barcelona,Spain Primera Division,RB,Defense,Spain,Right,2,Lean (170-185),81,67,74,78,72,70
D. Foulquier,77,77,9500000,32000,28,183,78,Valencia CF,Spain Primera Division,RB,Defense,France,Right,1,Lean (170-185),77,63,70,73,73,77
J. Lascelles,77,80,12000000,37000,27,188,83,Newcastle United,English Premier League,CB,Defense,England,Right,2,Normal (185+),58,35,51,56,77,79
Clerc,77,77,9500000,27000,29,182,69,Levante Unión Deportiva,Spain Primera Division,LB,Defense,Spain,Left,1,Lean (170-185),87,58,71,76,70,73
Y. Abdelhamid,77,77,5000000,25000,33,190,83,Stade de Reims,French Ligue 1,LCB,Defense,Morocco,Left,2,Normal (185+),33,33,56,65,78,83
L. Trossard,77,78,12500000,55000,26,172,67,Brighton & Hove Albion,English Premier League,CAM,Midfield,Belgium,Right,1,Normal (170-185),82,76,74,80,30,61
C. Bacca,77,77,5000000,26000,34,181,77,Granada CF,Spain Primera Division,ST,Attack,Colombia,Right,3,Stocky (170-185),67,75,64,75,33,65
J. Veltman,77,77,9000000,52000,29,184,75,Brighton & Hove Albion,English Premier League,RWB,Defense,Netherlands,Right,2,Normal (170-185),64,49,66,69,79,76
E. Hysaj,77,78,11000000,48000,27,182,70,Lazio,Italian Serie A,LB,Defense,Albania,Right,2,Normal (170-185),75,51,66,73,75,72
N. Maupay,77,82,16000000,52000,24,173,69,Brighton & Hove Albion,English Premier League,RS,Attack,France,Right,1,Normal (170-185),77,78,67,73,41,71
Diego Llorente,77,79,11000000,65000,27,186,76,Leeds United,English Premier League,RCB,Defense,Spain,Right,2,Lean (185+),71,40,62,65,76,78
Santi Mina,77,81,15000000,25000,25,181,77,RC Celta de Vigo,Spain Primera Division,LS,Attack,Spain,Right,1,Lean (170-185),75,77,69,76,49,72
I. Marcone,77,77,7500000,20000,31,182,79,Elche CF,Spain Primera Division,CDM,Midfield,Argentina,Right,1,Normal (170-185),47,63,71,71,73,80
S. Guirassy,77,81,15000000,46000,25,187,82,Stade Rennais FC,French Ligue 1,LS,Attack,France,Right,2,Normal (185+),71,77,66,75,38,76
B. Drągowski,77,81,12000000,30000,23,188,74,Fiorentina,Italian Serie A,GK,GoalKeeper,Poland,Right,1,Normal (185+),,,,,,
J. Palomino,77,77,7000000,41000,31,188,87,Atalanta,Italian Serie A,CB,Defense,Argentina,Left,2,Normal (185+),46,32,55,59,79,81
M. Targett,77,82,14500000,52000,25,183,70,Aston Villa,English Premier League,LB,Defense,England,Left,1,Normal (170-185),74,46,72,72,73,68
G. Maripán,77,79,11000000,43000,27,193,83,AS Monaco,French Ligue 1,CB,Defense,Chile,Right,1,Normal (185+),34,41,54,51,78,80
J. Ledesma,77,80,9500000,24000,28,186,83,Cádiz CF,Spain Primera Division,GK,GoalKeeper,Argentina,Right,1,Stocky (185+),,,,,,
S. Benrahma,77,80,14000000,59000,25,172,67,West Ham United,English Premier League,LM,Midfield,Algeria,Right,1,Normal (170-185),77,72,73,81,38,54
Unai López,77,81,14500000,21000,25,170,69,Rayo Vallecano,Spain Primera Division,RDM,Midfield,Spain,Right,1,Normal (170-),73,72,78,79,68,70
J. Omlin,77,81,11000000,20000,27,189,80,Montpellier Hérault SC,French Ligue 1,GK,GoalKeeper,Switzerland,Right,1,Normal (185+),,,,,,
P. Bernardoni,77,82,13000000,15000,24,190,78,Angers SCO,French Ligue 1,GK,GoalKeeper,France,Left,2,Normal (185+),,,,,,
J. Andersen,77,80,12500000,45000,25,192,90,Crystal Palace,English Premier League,RCB,Defense,Denmark,Right,2,Normal (185+),58,47,63,59,77,78
J. Boga,77,83,16500000,31000,24,174,72,U.S. Sassuolo Calcio,Italian Serie A,LM,Midfield,Côte d'Ivoire,Right,1,Normal (170-185),85,73,72,81,37,63
G. Castrovilli,77,81,15000000,43000,24,179,72,Fiorentina,Italian Serie A,LCM,Midfield,Italy,Right,2,Lean (170-185),74,65,75,82,66,68
M. Holgate,77,81,13500000,56000,24,184,75,Everton,English Premier League,RCB,Defense,England,Right,1,Lean (170-185),73,43,69,69,78,77
Rubén Duarte,77,82,14500000,22000,25,180,75,Deportivo Alavés,Spain Primera Division,LB,Defense,Spain,Left,1,Normal (170-185),66,36,65,67,77,69
Melero,77,78,12000000,28000,27,183,77,Levante Unión Deportiva,Spain Primera Division,RCM,Midfield,Spain,Right,1,Normal (170-185),63,76,74,72,73,76
Pedraza,77,82,14500000,27000,25,184,73,Villarreal CF,Spain Primera Division,LB,Defense,Spain,Left,1,Lean (170-185),78,72,70,75,73,77
M. Rashica,77,82,15500000,38000,25,177,73,Norwich City,English Premier League,LM,Midfield,Kosovo,Right,1,Lean (170-185),83,77,71,83,46,65
F. Centonze,77,80,13000000,18000,25,182,75,FC Metz,French Ligue 1,RWB,Defense,France,Right,1,Lean (170-185),81,51,70,72,70,79
N. Nández,77,82,15500000,31000,25,172,70,Cagliari,Italian Serie A,RM,Midfield,Uruguay,Right,2,Normal (170-185),77,67,72,77,76,83
M. Almirón,77,78,12000000,40000,27,174,70,Newcastle United,English Premier League,LCM,Midfield,Paraguay,Left,1,Lean (170-185),86,72,74,79,53,63
L. Blas,77,83,16500000,24000,23,180,70,FC Nantes,French Ligue 1,RS,Attack,France,Left,2,Normal (170-185),74,72,75,81,58,65
R. Perraud,77,83,15500000,41000,23,173,68,Southampton,English Premier League,LB,Defense,France,Left,1,Normal (170-185),74,72,75,74,72,73
Caio Henrique,77,81,14000000,37000,23,179,70,AS Monaco,French Ligue 1,LM,Midfield,Brazil,Left,1,Normal (170-185),72,54,74,75,73,59
Salvi Sánchez,77,77,10000000,30000,30,175,64,Cádiz CF,Spain Primera Division,RM,Midfield,Spain,Right,1,Lean (170-185),89,70,74,76,39,53
C. Ünder,77,79,13500000,42000,23,173,66,Olympique de Marseille,French Ligue 1,RM,Midfield,Turkey,Left,1,Normal (170-185),81,75,73,81,37,52
M. Guendouzi,77,84,20000000,56000,22,185,68,Olympique de Marseille,French Ligue 1,LDM,Midfield,France,Right,1,Lean (185+),74,63,75,75,72,76
Douglas Luiz,77,82,14500000,47000,23,175,66,Aston Villa,English Premier League,CDM,Midfield,Brazil,Right,2,Normal (170-185),67,67,74,76,74,69
C. Stengs,77,84,21500000,28000,22,187,68,OGC Nice,French Ligue 1,RM,Midfield,Netherlands,Left,2,Lean (185+),76,68,75,80,33,59
M. Terrier,77,81,15500000,42000,24,184,73,Stade Rennais FC,French Ligue 1,RS,Attack,France,Right,2,Lean (170-185),84,77,74,76,35,66
J. Clauss,77,77,9500000,29000,28,178,67,Racing Club de Lens,French Ligue 1,RWB,Defense,France,Right,1,Lean (170-185),85,66,70,76,67,71
N. González,77,83,17000000,47000,23,180,72,Fiorentina,Italian Serie A,LW,Attack,Argentina,Left,2,Lean (170-185),87,71,64,82,45,60
Gorosabel,77,82,15000000,25000,24,174,70,Real Sociedad,Spain Primera Division,RB,Defense,Spain,Right,1,Lean (170-185),75,46,70,71,75,68
S. Tonali,77,86,22500000,25000,21,181,79,AC Milan,Italian Serie A,RDM,Midfield,Italy,Right,1,Unique,78,65,77,76,72,76
M. Damsgaard,77,87,23000000,16000,20,180,71,U.C. Sampdoria,Italian Serie A,LM,Midfield,Denmark,Right,2,Lean (170-185),85,69,72,82,48,63
I. Meslier,77,85,20500000,34000,21,196,74,Leeds United,English Premier League,GK,GoalKeeper,France,Left,1,Lean (185+),,,,,,
D. McNeil,77,83,17000000,27000,21,183,70,Burnley,English Premier League,LM,Midfield,England,Left,1,Lean (170-185),72,68,77,80,53,67
Eric García,77,86,21500000,71000,20,182,76,FC Barcelona,Spain Primera Division,RCB,Defense,Spain,Right,2,Lean (170-185),65,44,65,66,79,72
L. Suárez,77,86,23500000,23000,23,185,74,Granada CF,Spain Primera Division,LM,Midfield,Colombia,Right,1,Normal (185+),86,78,65,74,40,79
J. Doku,77,88,23000000,29000,19,171,60,Stade Rennais FC,French Ligue 1,RM,Midfield,Belgium,Right,3,Normal (170-185),92,66,67,83,25,67
Ibañez,77,85,22000000,37000,22,185,73,Roma,Italian Serie A,LCB,Defense,Brazil,Right,2,Normal (185+),81,32,45,57,79,77
Dante,76,76,1300000,20000,37,189,91,OGC Nice,French Ligue 1,LCB,Defense,Brazil,Left,3,Normal (185+),32,51,67,64,78,76
R. Bertrand,76,76,5500000,70000,31,179,85,Leicester City,English Premier League,LB,Defense,England,Left,2,Normal (170-185),74,53,72,75,73,71
L. De Silvestri,76,76,3900000,28000,33,186,84,Bologna,Italian Serie A,RB,Defense,Italy,Right,2,Normal (185+),73,67,71,73,73,75
D. Criscito,76,76,2400000,16000,34,183,75,Genoa,Italian Serie A,LCB,Defense,Italy,Left,2,Lean (170-185),73,61,75,72,78,71
R. Thomas,76,76,3600000,21000,33,193,84,Angers SCO,French Ligue 1,LCB,Defense,France,Left,2,Lean (185+),35,33,54,48,78,73
Adrien Silva,76,76,6000000,20000,32,175,69,U.C. Sampdoria,Italian Serie A,LCM,Midfield,Portugal,Right,3,Normal (170-185),53,73,77,76,69,67
L. Ayling,76,76,6500000,63000,29,185,72,Leeds United,English Premier League,RB,Defense,England,Right,2,Lean (185+),66,54,64,72,76,75
K. Strootman,76,76,6000000,35000,31,186,78,Cagliari,Italian Serie A,LCM,Midfield,Netherlands,Left,3,Normal (185+),50,75,74,74,75,77
T. Pukki,76,76,6500000,37000,31,180,80,Norwich City,English Premier League,ST,Attack,Finland,Right,1,Normal (170-185),76,76,60,75,34,68
P. Groß,76,76,7000000,51000,30,181,78,Brighton & Hove Albion,English Premier League,RCM,Midfield,Germany,Right,2,Lean (170-185),50,74,80,75,58,71
N. Araújo,76,76,6500000,22000,29,188,87,RC Celta de Vigo,Spain Primera Division,RCB,Defense,Mexico,Right,1,Normal (185+),66,41,55,59,78,78
M. Gonalons,76,76,5000000,21000,32,187,76,Granada CF,Spain Primera Division,CDM,Midfield,France,Right,3,Lean (185+),47,61,72,68,75,72
F. Đuričić,76,76,7500000,32000,29,181,75,U.S. Sassuolo Calcio,Italian Serie A,CAM,Midfield,Serbia,Right,1,Lean (170-185),73,69,75,78,42,60
W. Khazri,76,76,7500000,33000,30,176,82,AS Saint-Étienne,French Ligue 1,ST,Attack,Tunisia,Right,2,Stocky (170-185),69,79,76,77,42,67
Tomás Pina,76,76,4600000,24000,33,184,78,Deportivo Alavés,Spain Primera Division,LDM,Midfield,Spain,Right,1,Lean (170-185),42,66,72,73,73,72
N. Pallois,76,76,3600000,23000,33,189,89,FC Nantes,French Ligue 1,LCB,Defense,France,Left,2,Normal (185+),41,53,60,59,76,85
Nolito,76,76,3500000,23000,34,175,73,RC Celta de Vigo,Spain Primera Division,LM,Midfield,Spain,Right,2,Normal (170-185),64,76,77,77,45,62
Sergi Gómez,76,77,7000000,18000,29,185,76,RCD Espanyol de Barcelona,Spain Primera Division,RCB,Defense,Spain,Right,1,Normal (185+),58,40,64,61,78,73
M. Lowton,76,76,5000000,31000,32,181,78,Burnley,English Premier League,RB,Defense,England,Right,1,Normal (170-185),66,61,73,72,76,74
M. Badelj,76,76,5000000,16000,32,186,80,Genoa,Italian Serie A,CDM,Midfield,Croatia,Right,2,Lean (185+),50,63,74,72,73,72
C. Biraghi,76,76,7000000,44000,28,185,78,Fiorentina,Italian Serie A,LB,Defense,Italy,Left,2,Normal (185+),75,65,74,73,72,69
A. Gomis,76,78,7000000,30000,27,196,80,Stade Rennais FC,French Ligue 1,GK,GoalKeeper,Senegal,Right,1,Lean (185+),,,,,,
T. Delaine,76,76,6500000,19000,29,180,70,FC Metz,French Ligue 1,LWB,Defense,France,Left,1,Normal (170-185),85,51,72,74,67,75
C. Taylor,76,77,8000000,31000,27,185,70,Burnley,English Premier League,LB,Defense,England,Left,1,Normal (185+),69,54,70,72,75,77
Alberto Moreno,76,76,7000000,28000,28,171,65,Villarreal CF,Spain Primera Division,LM,Midfield,Spain,Left,2,Normal (170-185),82,66,68,77,69,69
I. Hayden,76,79,9000000,34000,26,185,79,Newcastle United,English Premier League,CM,Midfield,England,Right,1,Normal (185+),58,60,63,70,75,78
D. Cheryshev,76,76,7000000,31000,30,179,74,Valencia CF,Spain Primera Division,LM,Midfield,Russia,Left,2,Normal (170-185),76,75,74,74,55,67
J. Ferri,76,76,6500000,24000,29,173,73,Montpellier Hérault SC,French Ligue 1,RDM,Midfield,France,Right,2,Normal (170-185),59,65,74,73,69,75
T. Foket,76,78,8500000,23000,26,177,67,Stade de Reims,French Ligue 1,RWB,Defense,Belgium,Right,1,Lean (170-185),75,57,69,72,73,77
A. Thomasson,76,77,8500000,23000,27,177,72,RC Strasbourg Alsace,French Ligue 1,CAM,Midfield,France,Right,2,Lean (170-185),68,70,76,77,65,69
F. Schär,76,77,7000000,36000,29,188,84,Newcastle United,English Premier League,RCB,Defense,Switzerland,Right,2,Normal (185+),58,67,70,68,77,75
D. Lazović,76,76,7000000,26000,30,181,66,Hellas Verona,Italian Serie A,LM,Midfield,Serbia,Right,1,Lean (170-185),85,68,72,77,61,56
A. Djiku,76,79,8500000,21000,26,182,81,RC Strasbourg Alsace,French Ligue 1,RCB,Defense,Ghana,Right,2,Normal (170-185),71,42,66,69,75,81
I. Toney,76,80,10500000,46000,25,187,70,Brentford,English Premier League,LS,Attack,England,Right,1,Normal (185+),80,75,58,72,46,80
Hwang Ui Jo,76,76,7500000,29000,28,185,82,FC Girondins de Bordeaux,French Ligue 1,LS,Attack,Korea Republic,Right,2,Lean (185+),78,77,64,74,42,73
F. Tait,76,76,7500000,43000,28,175,70,Stade Rennais FC,French Ligue 1,LM,Midfield,France,Right,2,Normal (170-185),73,69,73,77,35,64
A. El Ghazi,76,77,9000000,56000,26,188,90,Aston Villa,English Premier League,LW,Attack,Netherlands,Right,1,Normal (185+),73,78,70,76,35,69
M. Caldara,76,76,7000000,32000,27,187,80,Venezia FC,Italian Serie A,LCB,Defense,Italy,Right,2,Normal (185+),58,34,46,63,79,71
J. Brownhill,76,79,10000000,33000,25,180,69,Burnley,English Premier League,LCM,Midfield,England,Right,1,Normal (170-185),69,67,72,74,74,76
A. Armstrong,76,82,12000000,46000,24,172,69,Southampton,English Premier League,LS,Attack,England,Right,1,Normal (170-185),90,77,66,76,35,71
Otávio,76,78,8000000,23000,27,173,73,FC Girondins de Bordeaux,French Ligue 1,CM,Midfield,Brazil,Right,2,Normal (170-185),61,55,67,72,75,76
S. Mavididi,76,81,11500000,22000,23,182,71,Montpellier Hérault SC,French Ligue 1,ST,Attack,England,Right,1,Normal (170-185),89,72,67,75,27,67
D. Bouanga,76,77,9000000,30000,26,180,70,AS Saint-Étienne,French Ligue 1,LM,Midfield,Gabon,Right,2,Normal (170-185),80,75,70,78,38,69
C. Adams,76,81,11500000,46000,24,178,70,Southampton,English Premier League,RS,Attack,Scotland,Right,1,Stocky (170-185),84,77,62,74,40,77
A. Zambo Anguissa,76,80,10500000,49000,25,184,78,Napoli,Italian Serie A,LCM,Midfield,Cameroon,Right,1,Lean (170-185),77,64,70,80,74,82
L. Martínez Quarta,76,83,13500000,40000,25,183,78,Fiorentina,Italian Serie A,LCB,Defense,Argentina,Right,2,Lean (170-185),67,56,69,70,75,78
Robert Sanchéz,76,82,9500000,31000,23,197,85,Brighton & Hove Albion,English Premier League,GK,GoalKeeper,Spain,Right,1,Normal (185+),,,,,,
P. Lees-Melou,76,76,7500000,36000,28,186,70,Norwich City,English Premier League,RCM,Midfield,France,Right,1,Lean (185+),67,72,77,76,67,74
B. White,76,85,15500000,52000,23,185,77,Arsenal,English Premier League,RCB,Defense,England,Right,1,Lean (185+),69,27,61,67,77,76
Isi,76,76,8000000,20000,26,169,71,Rayo Vallecano,Spain Primera Division,RM,Midfield,Spain,Left,1,Normal (170-),86,74,73,77,39,65
R. Orsolini,76,82,12000000,27000,24,183,73,Bologna,Italian Serie A,RW,Attack,Italy,Left,2,Normal (170-185),80,70,74,81,39,65
Brais Méndez,76,82,12000000,20000,24,187,76,RC Celta de Vigo,Spain Primera Division,RM,Midfield,Spain,Left,1,Lean (185+),71,74,76,74,50,63
D. Brašanac,76,76,7500000,28000,29,178,73,CA Osasuna,Spain Primera Division,LCM,Midfield,Serbia,Right,1,Normal (170-185),55,70,73,73,72,73
J. Kluivert,76,83,15000000,39000,22,172,66,OGC Nice,French Ligue 1,LM,Midfield,Netherlands,Right,1,Normal (170-185),89,72,67,81,37,58
N. Milenković,76,83,14000000,36000,23,195,90,Fiorentina,Italian Serie A,RCB,Defense,Serbia,Right,2,Normal (185+),66,44,61,62,76,81
Bremer,76,82,11000000,31000,24,188,82,Torino F.C.,Italian Serie A,CB,Defense,Brazil,Right,1,Normal (185+),64,35,51,62,77,74
M. Olivera,76,84,16000000,21000,23,184,78,Getafe CF,Spain Primera Division,LB,Defense,Uruguay,Left,1,Normal (170-185),76,50,65,70,74,77
Y. Atal,76,80,9500000,26000,25,175,66,OGC Nice,French Ligue 1,RB,Defense,Algeria,Right,2,Lean (170-185),90,68,71,79,70,69
M. Barrow,76,83,15000000,37000,22,183,70,Bologna,Italian Serie A,LW,Attack,Gambia,Right,1,Lean (170-185),84,74,67,77,31,63
B. Badiashile,76,84,15500000,29000,20,194,75,AS Monaco,French Ligue 1,LCB,Defense,France,Left,2,Normal (185+),62,39,63,58,77,76
A. Saelemaekers,76,81,11500000,34000,22,180,72,AC Milan,Italian Serie A,RM,Midfield,Belgium,Right,1,Lean (170-185),81,66,74,78,62,68
N. Aguerd,76,80,9500000,36000,25,188,76,Stade Rennais FC,French Ligue 1,LCB,Defense,Morocco,Left,2,Lean (185+),60,45,60,61,76,77
Trincão,76,85,17000000,84000,21,183,77,Wolverhampton Wanderers,English Premier League,RW,Attack,Portugal,Left,1,Lean (170-185),79,71,70,81,37,69
M. Salisu,76,84,15500000,38000,22,191,85,Southampton,English Premier League,LCB,Defense,Ghana,Left,1,Normal (185+),67,36,51,55,76,79
J. Todibo,76,84,15500000,20000,21,190,88,OGC Nice,French Ligue 1,RCB,Defense,France,Right,1,Lean (185+),76,44,61,64,77,76
S. Dest,76,85,15500000,67000,20,175,62,FC Barcelona,Spain Primera Division,RB,Defense,United States,Right,1,Normal (170-185),87,59,72,81,67,66
M. Viña,76,82,11000000,35000,23,181,70,Roma,Italian Serie A,LB,Defense,Uruguay,Left,1,Lean (170-185),82,62,71,75,69,69
J. Leca,75,75,625000,13000,35,180,75,Racing Club de Lens,French Ligue 1,GK,GoalKeeper,France,Right,2,Stocky (170-185),,,,,,
Salva Sevilla,75,75,1100000,16000,37,178,71,RCD Mallorca,Spain Primera Division,RDM,Midfield,Spain,Right,2,Normal (170-185),44,72,79,71,69,64
J. McArthur,75,75,3500000,46000,33,178,66,Crystal Palace,English Premier League,RCM,Midfield,Scotland,Right,1,Normal (170-185),53,66,72,74,75,73
Ó. Trejo,75,75,2800000,18000,33,180,79,Rayo Vallecano,Spain Primera Division,CAM,Midfield,Argentina,Right,1,Normal (170-185),71,72,75,78,69,77
M. Sakho,75,75,3800000,22000,31,187,83,Montpellier Hérault SC,French Ligue 1,LCB,Defense,France,Left,3,Normal (185+),47,33,64,55,74,79
C. Benteke,75,75,5500000,50000,30,190,83,Crystal Palace,English Premier League,ST,Attack,Belgium,Right,2,Lean (185+),54,76,62,68,32,75
